hora,tipo,nivel,vehiculo_id,vehiculo_tipo,espacios_libres,tiempo_espera_s,tiempo_estacion_s,mensaje
18:26:32,sistema,info,,,,,,📋 Gestor de métricas iniciado
18:26:32,sistema,info,,,6,,,✅ Simulador iniciado
18:26:35,vehiculo_nuevo,info,1,Normal,6,,,🚘 V001 [Normal] → En camino creado
18:26:37,espera,warning,1,Normal,6,,,⏳ V001 esperando cupo...
18:26:37,ingreso,success,1,Normal,5,,,✅ V001 ingresó → Espacio #1 | Espera: 0.0s
18:26:38,vehiculo_nuevo,info,2,Normal,5,,,🚘 V002 [Normal] → En camino creado
18:26:43,vehiculo_nuevo,info,3,Normal,5,,,🚘 V003 [Normal] → En camino creado
18:26:44,espera,warning,2,Normal,5,,,⏳ V002 esperando cupo...
18:26:45,ingreso,success,2,Normal,4,,,✅ V002 ingresó → Espacio #2 | Espera: 0.0s
18:26:45,vehiculo_nuevo,info,4,Normal,4,,,🚘 V004 [Normal] → En camino creado
18:26:46,salida,info,1,Normal,5,,7.76,V001 salio | Estacionado: 7.76s
18:26:47,espera,warning,4,Normal,5,,,⏳ V004 esperando cupo...
18:26:47,ingreso,success,4,Normal,4,,,✅ V004 ingresó → Espacio #1 | Espera: 0.0s
18:26:48,espera,warning,3,Normal,4,,,⏳ V003 esperando cupo...
18:26:49,ingreso,success,3,Normal,3,,,✅ V003 ingresó → Espacio #3 | Espera: 0.0s
18:26:49,salida,info,2,Normal,4,,5.91,V002 salio | Estacionado: 5.91s
18:26:51,vehiculo_nuevo,info,5,Normal,4,,,🚘 V005 [Normal] → En camino creado
18:26:51,vehiculo_nuevo,info,6,Normal,4,,,🚘 V006 [Normal] → En camino creado
18:26:54,salida,info,4,Normal,5,,7.19,V004 salio | Estacionado: 7.19s
18:26:54,espera,warning,5,Normal,5,,,⏳ V005 esperando cupo...
18:26:55,ingreso,success,5,Normal,4,,,✅ V005 ingresó → Espacio #1 | Espera: 0.0s
18:26:55,espera,warning,6,Normal,4,,,⏳ V006 esperando cupo...
18:26:56,ingreso,success,6,Normal,3,,,✅ V006 ingresó → Espacio #2 | Espera: 0.0s
18:26:57,vehiculo_nuevo,info,7,Normal,3,,,🚘 V007 [Normal] → En camino creado
18:26:58,vehiculo_nuevo,info,8,Normal,3,,,🚘 V008 [Normal] → En camino creado
18:26:58,salida,info,3,Normal,4,,10.05,V003 salio | Estacionado: 10.05s
18:26:59,espera,warning,7,Normal,4,,,⏳ V007 esperando cupo...
18:27:00,ingreso,success,7,Normal,3,,,✅ V007 ingresó → Espacio #3 | Espera: 0.0s
18:27:01,salida,info,5,Normal,4,,7.22,V005 salio | Estacionado: 7.22s
18:27:02,vehiculo_nuevo,info,9,Normal,4,,,🚘 V009 [Normal] → En camino creado
18:27:03,espera,warning,8,Normal,4,,,⏳ V008 esperando cupo...
18:27:03,ingreso,success,8,Normal,3,,,✅ V008 ingresó → Espacio #1 | Espera: 0.0s
18:27:04,vehiculo_nuevo,info,10,Normal,3,,,🚘 V010 [Normal] → En camino creado
18:27:06,espera,warning,10,Normal,3,,,⏳ V010 esperando cupo...
18:27:06,ingreso,success,10,Normal,2,,,✅ V010 ingresó → Espacio #4 | Espera: 0.0s
18:27:07,vehiculo_nuevo,info,11,Normal,2,,,🚘 V011 [Normal] → En camino creado
18:27:08,salida,info,6,Normal,3,,10.9,V006 salio | Estacionado: 10.9s
18:27:08,espera,warning,9,Normal,3,,,⏳ V009 esperando cupo...
18:27:08,ingreso,success,9,Normal,2,,,✅ V009 ingresó → Espacio #2 | Espera: 0.0s
18:27:09,salida,info,7,Normal,3,,8.4,V007 salio | Estacionado: 8.4s
18:27:12,salida,info,8,Normal,4,,8.37,V008 salio | Estacionado: 8.37s
18:27:12,vehiculo_nuevo,info,12,Normal,4,,,🚘 V012 [Normal] → En camino creado
18:27:12,espera,warning,11,Normal,4,,,⏳ V011 esperando cupo...
18:27:13,ingreso,success,11,Normal,3,,,✅ V011 ingresó → Espacio #1 | Espera: 0.0s
18:27:14,vehiculo_nuevo,info,13,Normal,3,,,🚘 V013 [Normal] → En camino creado
18:27:16,vehiculo_nuevo,info,14,Normal,3,,,🚘 V014 [Normal] → En camino creado
18:27:16,espera,warning,13,Normal,3,,,⏳ V013 esperando cupo...
18:27:17,ingreso,success,13,Normal,2,,,✅ V013 ingresó → Espacio #3 | Espera: 0.0s
18:27:17,espera,warning,12,Normal,2,,,⏳ V012 esperando cupo...
18:27:18,ingreso,success,12,Normal,1,,,✅ V012 ingresó → Espacio #5 | Espera: 0.0s
18:27:19,salida,info,10,Normal,2,,13.52,V010 salio | Estacionado: 13.52s
18:27:20,salida,info,9,Normal,3,,12.41,V009 salio | Estacionado: 12.41s
18:27:21,salida,info,11,Normal,4,,8.85,V011 salio | Estacionado: 8.85s
18:27:21,vehiculo_nuevo,info,15,Normal,4,,,🚘 V015 [Normal] → En camino creado
18:27:22,vehiculo_nuevo,info,16,Normal,4,,,🚘 V016 [Normal] → En camino creado
18:27:22,espera,warning,14,Normal,4,,,⏳ V014 esperando cupo...
18:27:23,ingreso,success,14,Normal,3,,,✅ V014 ingresó → Espacio #1 | Espera: 0.0s
18:27:24,espera,warning,16,Normal,3,,,⏳ V016 esperando cupo...
18:27:24,ingreso,success,16,Normal,2,,,✅ V016 ingresó → Espacio #2 | Espera: 0.0s
18:27:24,espera,warning,15,Normal,2,,,⏳ V015 esperando cupo...
